[2026-06-18 20:52:07] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:52:07] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:52:07] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:52:07] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:52:07] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:52:07] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:52:07] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:52:07] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:52:07] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:52:07] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:52:07] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:25] Scout (ATT WINS): att=24, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:25] Scout (ATT WINS): att=144, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:25] Scout (ATT WINS): att=35, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:25] Scout (ATT WINS): att=87, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:25] Scout (ATT WINS): att=39, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:25] Scout (ATT WINS): att=77, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:25] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:26] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:53:26] Scout (ATT WINS): att=99, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:26] Scout (ATT WINS): att=10, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:53:26] Scout (ATT WINS): att=10, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:53:26] Scout (ATT WINS): att=10, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:53:26] Scout (ATT WINS): att=10, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:53:26] Scout (ATT WINS): att=10, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:53:26] Scout (ATT WINS): att=12, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:26] Scout (ATT WINS): att=74, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:26] Scout (ATT WINS): att=13, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:53:26] Scout (ATT WINS): att=39, def=0, losses=0, spy_level=4, only_spies=true
